[ T-Track ]
    title = [t-track] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
#           6.80000E+00  7.04000E+00  7.28000E+00  7.52000E+00  7.76000E+00
#           8.00000E+00  8.24000E+00  8.48000E+00  8.72000E+00  8.96000E+00
#           9.20000E+00  9.44000E+00  9.68000E+00  9.92000E+00  1.01600E+01
#           1.04000E+01  1.06400E+01  1.08800E+01  1.11200E+01  1.13600E+01
#           1.16000E+01  1.18400E+01  1.20800E+01  1.23200E+01  1.25600E+01
#           1.28000E+01  1.30400E+01  1.32800E+01  1.35200E+01  1.37600E+01
#           1.40000E+01  1.42400E+01  1.44800E+01  1.47200E+01  1.49600E+01
#           1.52000E+01  1.54400E+01  1.56800E+01  1.59200E+01  1.61600E+01
#           1.64000E+01  1.66400E+01  1.68800E+01  1.71200E+01  1.73600E+01
#           1.76000E+01  1.78400E+01  1.80800E+01  1.83200E+01  1.85600E+01
#           1.88000E+01  1.90400E+01  1.92800E+01  1.95200E+01  1.97600E+01
#           2.00000E+01  2.02400E+01  2.04800E+01  2.07200E+01  2.09600E+01
#           2.12000E+01  2.14400E+01  2.16800E+01  2.19200E+01  2.21600E+01
#           2.24000E+01  2.26400E+01  2.28800E+01  2.31200E+01  2.33600E+01
#           2.36000E+01  2.38400E+01  2.40800E+01  2.43200E+01  2.45600E+01
#           2.48000E+01  2.50400E+01  2.52800E+01  2.55200E+01  2.57600E+01
#           2.60000E+01  2.62400E+01  2.64800E+01  2.67200E+01  2.69600E+01
#           2.72000E+01  2.74400E+01  2.76800E+01  2.79200E+01  2.81600E+01
#           2.84000E+01  2.86400E+01  2.88800E+01  2.91200E+01  2.93600E+01
#           2.96000E+01  2.98400E+01  3.00800E+01  3.03200E+01  3.05600E+01
#           3.08000E+01  3.10400E+01  3.12800E+01  3.15200E+01  3.17600E+01
#           3.20000E+01  3.22400E+01  3.24800E+01  3.27200E+01  3.29600E+01
#           3.32000E+01  3.34400E+01  3.36800E+01  3.39200E+01  3.41600E+01
#           3.44000E+01  3.46400E+01  3.48800E+01  3.51200E+01  3.53600E+01
#           3.56000E+01  3.58400E+01  3.60800E+01  3.63200E+01  3.65600E+01
#           3.68000E+01  3.70400E+01  3.72800E+01  3.75200E+01  3.77600E+01
#           3.80000E+01  3.82400E+01  3.84800E+01  3.87200E+01  3.89600E+01
#           3.92000E+01  3.94400E+01  3.96800E+01  3.99200E+01  4.01600E+01
#           4.04000E+01  4.06400E+01  4.08800E+01  4.11200E+01  4.13600E+01
#           4.16000E+01  4.18400E+01  4.20800E+01  4.23200E+01  4.25600E+01
#           4.28000E+01  4.30400E+01  4.32800E+01  4.35200E+01  4.37600E+01
#           4.40000E+01  4.42400E+01  4.44800E+01  4.47200E+01  4.49600E+01
#           4.52000E+01  4.54400E+01  4.56800E+01  4.59200E+01  4.61600E+01
#           4.64000E+01  4.66400E+01  4.68800E+01  4.71200E+01  4.73600E+01
#           4.76000E+01  4.78400E+01  4.80800E+01  4.83200E+01  4.85600E+01
#           4.88000E+01  4.90400E+01  4.92800E+01  4.95200E+01  4.97600E+01
#           5.00000E+01  5.02400E+01  5.04800E+01  5.07200E+01  5.09600E+01
#           5.12000E+01  5.14400E+01  5.16800E+01  5.19200E+01  5.21600E+01
#           5.24000E+01  5.26400E+01  5.28800E+01  5.31200E+01  5.33600E+01
#           5.36000E+01  5.38400E+01  5.40800E+01  5.43200E+01  5.45600E+01
#           5.48000E+01  5.50400E+01  5.52800E+01  5.55200E+01  5.57600E+01
#           5.60000E+01  5.62400E+01  5.64800E+01  5.67200E+01  5.69600E+01
#           5.72000E+01  5.74400E+01  5.76800E+01  5.79200E+01  5.81600E+01
#           5.84000E+01  5.86400E+01  5.88800E+01  5.91200E+01  5.93600E+01
#           5.96000E+01  5.98400E+01  6.00800E+01  6.03200E+01  6.05600E+01
#           6.08000E+01  6.10400E+01  6.12800E+01  6.15200E+01  6.17600E+01
#           6.20000E+01  6.22400E+01  6.24800E+01  6.27200E+01  6.29600E+01
#           6.32000E+01  6.34400E+01  6.36800E+01  6.39200E+01  6.41600E+01
#           6.44000E+01  6.46400E+01  6.48800E+01  6.51200E+01  6.53600E+01
#           6.56000E+01  6.58400E+01  6.60800E+01  6.63200E+01  6.65600E+01
#           6.68000E+01  6.70400E+01  6.72800E+01  6.75200E+01  6.77600E+01
#           6.80000E+01  6.82400E+01  6.84800E+01  6.87200E+01  6.89600E+01
#           6.92000E+01  6.94400E+01  6.96800E+01  6.99200E+01  7.01600E+01
#           7.04000E+01  7.06400E+01  7.08800E+01  7.11200E+01  7.13600E+01
#           7.16000E+01  7.18400E+01  7.20800E+01  7.23200E+01  7.25600E+01
#           7.28000E+01  7.30400E+01  7.32800E+01  7.35200E+01  7.37600E+01
#           7.40000E+01  7.42400E+01  7.44800E+01  7.47200E+01  7.49600E+01
#           7.52000E+01  7.54400E+01  7.56800E+01  7.59200E+01  7.61600E+01
#           7.64000E+01  7.66400E+01  7.68800E+01  7.71200E+01  7.73600E+01
#           7.76000E+01  7.78400E+01  7.80800E+01  7.83200E+01  7.85600E+01
#           7.88000E+01  7.90400E+01  7.92800E+01  7.95200E+01  7.97600E+01
#           8.00000E+01  8.02400E+01  8.04800E+01  8.07200E+01  8.09600E+01
#           8.12000E+01  8.14400E+01  8.16800E+01  8.19200E+01  8.21600E+01
#           8.24000E+01  8.26400E+01  8.28800E+01  8.31200E+01  8.33600E+01
#           8.36000E+01  8.38400E+01  8.40800E+01  8.43200E+01  8.45600E+01
#           8.48000E+01  8.50400E+01  8.52800E+01  8.55200E+01  8.57600E+01
#           8.60000E+01  8.62400E+01  8.64800E+01  8.67200E+01  8.69600E+01
#           8.72000E+01  8.74400E+01  8.76800E+01  8.79200E+01  8.81600E+01
#           8.84000E+01  8.86400E+01  8.88800E+01  8.91200E+01  8.93600E+01
#           8.96000E+01  8.98400E+01  9.00800E+01  9.03200E+01  9.05600E+01
#           9.08000E+01  9.10400E+01  9.12800E+01  9.15200E+01  9.17600E+01
#           9.20000E+01  9.22400E+01  9.24800E+01  9.27200E+01  9.29600E+01
#           9.32000E+01  9.34400E+01  9.36800E+01  9.39200E+01  9.41600E+01
#           9.44000E+01  9.46400E+01  9.48800E+01  9.51200E+01  9.53600E+01
#           9.56000E+01  9.58400E+01  9.60800E+01  9.63200E+01  9.65600E+01
#           9.68000E+01  9.70400E+01  9.72800E+01  9.75200E+01  9.77600E+01
#           9.80000E+01  9.82400E+01  9.84800E+01  9.87200E+01  9.89600E+01
#           9.92000E+01  9.94400E+01  9.96800E+01  9.99200E+01  1.00160E+02
#           1.00400E+02  1.00640E+02  1.00880E+02  1.01120E+02  1.01360E+02
#           1.01600E+02  1.01840E+02  1.02080E+02  1.02320E+02  1.02560E+02
#           1.02800E+02  1.03040E+02  1.03280E+02  1.03520E+02  1.03760E+02
#           1.04000E+02  1.04240E+02  1.04480E+02  1.04720E+02  1.04960E+02
#           1.05200E+02  1.05440E+02  1.05680E+02  1.05920E+02  1.06160E+02
#           1.06400E+02  1.06640E+02  1.06880E+02  1.07120E+02  1.07360E+02
#           1.07600E+02  1.07840E+02  1.08080E+02  1.08320E+02  1.08560E+02
#           1.08800E+02  1.09040E+02  1.09280E+02  1.09520E+02  1.09760E+02
#           1.10000E+02
   e-type =    1            # e-mesh is given by the below data
       ne =      1          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
            0.00000E+00  1.00000E+03
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
  2D-type =    3            # 1:Cont, 2:Clust, 3:Color, 4:xyz, 5:mat, 6:Clust+Cont, 7:Col+Cont
     axis =      yz            # axis of output
     file = ./out/track_yz_gamma_L.out  # file name of output for the above axis
     part =  photon   
# kf/name :  22       
    gshow =    1            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         660 (  0)           0 (  0)         660 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ie  =  1   ix  =  1   part. = photon  
#   e = (   0.0000E+00  -   1.0000E+03  )
#   x = (   0.0000E+00  -   1.0000E-01  )

'no. =  1,  ie =  1,  ix =  1'
msuc: {\huge [t-track] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}

x: z [cm]
y: y [cm]
set: c1[ 0.167] c2[ 2.205] c5[ 0.800] c6[ 0.534] c7[ 0.000] c8[ 2.000]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
set: c3[   1.264713E+00] c4[   1.408090E+07]
p: cmin[c3] cmax[c4]
p: dmin(1e-31)
p: zlog
p: xmin( -10.00000    ) xmax(  110.0000    )
p: ymin( -10.00000    ) ymax(  10.00000    )

#   no. =  1   ie  =  1   ix  =  1
#   e = (   0.0000E+00  -   1.0000E+03  )
#   x = (   0.0000E+00  -   1.0000E-01  )

hc:  y =   9.933333     to  -9.933333     by  0.1333333     ; x =  -9.880000     to   109.8800     by  0.2400000     ;
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.144E+04
  2.380E+04  3.967E+03  0.000E+00  7.308E+03  7.019E+03  0.000E+00  0.000E+00  7.001E+03  2.325E+03  8.714E+03
  0.000E+00  2.124E+03  6.203E+03  0.000E+00  1.021E+04  4.577E+04  3.565E+04  3.708E+03  8.345E+03  1.254E+04
  6.114E+03  1.031E+04  1.653E+04  0.000E+00  2.574E+03  0.000E+00  6.156E+03  0.000E+00  0.000E+00  1.184E+04
  9.670E+03  1.045E+04  2.007E+04  3.715E+03  4.488E+03  1.267E+04  4.286E+03  8.464E+03  1.197E+04  1.062E+04
  8.321E+03  5.124E+03  6.158E+03  0.000E+00  0.000E+00  1.826E+03  1.515E+04  5.612E+03  1.007E+04  2.198E+04
  1.724E+04  2.602E+03  8.536E+03  1.065E+04  6.290E+02  0.000E+00  1.676E+04  3.984E+03  0.000E+00  8.480E+03
  8.510E+03  5.214E+03  8.423E+03  5.839E+03  6.523E+03  1.168E+04  5.362E+03  1.848E+04  1.918E+04  2.699E+04
  8.679E+03  1.260E+04  5.247E+03  1.707E+04  1.512E+04  1.773E+04  1.592E+04  1.897E+04  2.364E+04  1.685E+04
  7.044E+03  1.478E+04  9.509E+03  1.343E+03  7.059E+03  5.263E+03  1.022E+04  2.143E+04  1.029E+04  3.421E+04
  2.754E+04  9.624E+03  1.905E+04  3.838E+04  1.152E+04  9.511E+03  2.434E+03  5.162E+03  6.894E+03  4.470E+03
  2.261E+04  1.621E+04  2.025E+04  6.359E+03  1.829E+04  1.527E+04  8.018E+03  1.397E+04  6.780E+03  2.888E+04
  6.378E+03  2.278E+04  2.344E+04  1.109E+04  2.406E+04  9.807E+03  1.832E+04  3.081E+04  2.458E+04  1.169E+04
  1.171E+04  1.055E+04  0.000E+00  1.564E+04  3.219E+04  4.060E+04  9.907E+03  7.046E+03  5.566E+03  4.458E+03
  1.949E+04  3.012E+04  3.812E+04  2.079E+04  2.293E+04  1.472E+04  2.044E+04  3.708E+03  2.472E+04  7.879E+03
  1.201E+04  1.964E+03  2.583E+04  2.715E+04  3.008E+04  1.288E+04  1.082E+04  2.137E+04  1.191E+04  4.850E+04
  2.698E+04  2.096E+04  9.125E+03  1.335E+04  2.710E+04  3.341E+04  2.178E+04  2.712E+04  3.207E+04  2.414E+04
  1.122E+04  1.802E+04  1.909E+04  2.184E+04  1.905E+04  2.325E+04  5.938E+03  6.773E+03  2.247E+04  1.222E+04
  1.539E+04  5.554E+03  2.799E+04  1.423E+04  1.567E+04  1.513E+04  3.191E+04  2.338E+04  1.913E+04  6.563E+03
  1.571E+04  3.834E+04  1.579E+04  1.058E+04  1.596E+04  1.060E+04  4.616E+04  4.318E+04  4.750E+04  7.984E+03
  1.365E+04  3.546E+04  1.431E+04  1.671E+04  3.724E+04  2.383E+04  1.846E+04  3.264E+04  2.103E+04  4.333E+04
  2.743E+04  5.933E+03  3.004E+04  1.587E+04  2.845E+04  1.631E+04  1.615E+03  3.494E+04  4.224E+04  5.742E+03
  1.940E+04  1.806E+04  4.923E+04  1.409E+04  1.575E+04  1.984E+04  2.499E+04  9.754E+03  7.230E+03  0.000E+00
  3.102E+03  0.000E+00  6.123E+03  3.234E+04  2.671E+04  5.903E+03  1.518E+04  1.715E+04  2.008E+04  1.456E+04
  7.617E+03  8.647E+03  1.817E+04  6.121E+03  1.187E+04  7.843E+03  2.363E+03  1.744E+04  0.000E+00  6.478E+03
  1.376E+04  2.995E+03  1.272E+04  6.532E+03  2.766E+04  1.485E+04  6.520E+03  4.037E+03  3.922E+03  3.788E+04
  8.093E+03  4.699E+03  3.336E+03  6.323E+03  2.823E+04  1.682E+04  9.596E+03  1.037E+03  8.479E+03  0.000E+00
  1.431E+04  2.328E+04  2.810E+03  1.091E+04  2.317E+04  1.385E+04  5.555E+03  0.000E+00  2.884E+04  1.220E+04
  5.727E+03  3.642E+03  1.951E+04  3.037E+04  2.667E+04  3.360E+03  5.609E+03  2.441E+02  1.135E+04  1.350E+04
  2.399E+03  6.570E+03  0.000E+00  7.448E+03  1.215E+04  1.818E+04  3.517E+03  1.007E+04  1.892E+02  1.664E+04
  8.448E+03  1.322E+04  8.786E+03  0.000E+00  9.848E+03  6.890E+03  1.120E+04  1.614E+04  9.657E+03  6.391E+03
  8.616E+03  0.000E+00  0.000E+00  5.691E+03  1.012E+04  1.656E+04  0.000E+00  7.135E+03  0.000E+00  0.000E+00
  4.265E+03  0.000E+00  4.803E+03  2.096E+03  1.047E+04  9.352E+03  1.747E+04  1.286E+04  3.784E+03  2.407E+03
  5.569E+03  2.299E+03  1.426E+04  2.978E+04  1.670E+04  7.445E+03  0.000E+00  5.590E+03  1.309E+04  9.686E+03
  3.097E+01  0.000E+00  9.399E+03  3.876E+03  8.863E+03  1.002E+04  1.487E+03  3.956E+03  0.000E+00  5.933E+03
  4.204E+03  0.000E+00  8.687E+03  4.207E+03  7.031E+03  1.115E+04  5.153E+03  1.616E+04  0.000E+00  2.322E+04
  2.348E+03  9.017E+03  5.727E+03  0.000E+00  0.000E+00  1.757E+04  1.450E+04  5.104E+02  0.000E+00  1.066E+04
  2.110E+03  0.000E+00  0.000E+00  4.755E+03  3.218E+03  1.510E+04  1.338E+04  1.220E+03  7.011E+03  1.637E+03
  2.495E+04  5.777E+02  9.180E+03  1.448E+03  0.000E+00  5.515E+03  1.137E+04  8.954E+03  2.757E+04  2.021E+04
  1.218E+04  2.411E+03  0.000E+00  0.000E+00  1.381E+03  5.595E+03  3.334E+03  1.398E+04  9.581E+03  0.000E+00
  2.584E+03  4.263E+03  0.000E+00  0.000E+00  9.143E+03  1.679E+03  0.000E+00  1.856E+03  2.528E+04  3.396E+04
  6.392E+03  1.557E+04  1.293E+04  2.708E+04  1.624E+04  1.742E+03  4.331E+03  8.362E+03  2.434E+04  1.225E+04
  1.698E+04  1.680E+04  1.622E+04  1.979E+04  9.577E+03  1.082E+04  1.527E+04  1.185E+04  3.091E+04  3.691E+04
  1.724E+04  2.219E+04  2.444E+04  3.134E+04  1.925E+04  1.654E+04  1.051E+04  1.953E+04  2.114E+04  7.056E+03
  1.107E+04  3.450E+03  1.577E+04  0.000E+00  1.813E+04  7.703E+03  1.798E+04  1.158E+04  8.823E+03  8.054E+03
  8.627E+03  1.301E+04  1.280E+04  4.508E+03  5.602E+03  1.737E+04  1.355E+04  1.681E+03  2.950E+04  1.251E+04
  2.486E+04  9.367E+03  1.858E+04  1.535E+04  8.473E+03  8.694E+03  1.230E+04  4.671E+02  6.282E+03  2.604E+04
  0.000E+00  7.277E+03  9.888E+03  1.055E+04  4.117E+03  8.393E+03  9.340E+03  2.201E+04  6.011E+03  4.985E+03
  3.238E+03  5.288E+03  3.371E+03  1.804E+04  1.776E+04  0.000E+00  3.024E+03  1.034E+04  1.116E+04  2.026E+04
  7.785E+03  9.750E+03  9.963E+02  0.000E+00  7.745E+03  8.187E+03  0.000E+00  0.000E+00  7.565E+02  1.299E+03
  0.000E+00  0.000E+00  4.519E+03  0.000E+00  0.000E+00  5.666E+03  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  4.612E+03  1.732E+04  9.630E+03  7.641E+03  3.051E+03  1.007E+04  1.205E+03  0.000E+00  8.675E+03  2.310E+03
  6.404E+03  0.000E+00  5.824E+03  4.897E+03  0.000E+00  1.208E+04  2.438E+04  2.631E+04  1.630E+04  1.535E+04
  8.060E+03  9.842E+03  1.591E+04  1.531E+04  0.000E+00  0.000E+00  9.576E+02  1.140E+04  0.000E+00  2.337E+03
  0.000E+00  6.570E+03  1.414E+04  1.573E+04  6.407E+03  5.613E+03  5.291E+03  1.155E+04  8.274E+03  3.032E+03
  8.502E+03  0.000E+00  1.128E+04  0.000E+00  0.000E+00  5.716E+03  1.587E+04  7.312E+03  1.072E+04  1.443E+04
  2.170E+04  1.026E+04  0.000E+00  9.189E+03  1.611E+04  0.000E+00  9.759E+03  1.996E+04  4.086E+03  0.000E+00
  1.377E+04  5.214E+03  0.000E+00  2.032E+04  6.419E+03  1.124E+04  2.397E+04  1.216E+04  2.200E+02  5.855E+03
  2.848E+04  7.283E+03  1.057E+04  1.060E+04  8.415E+03  1.560E+04  1.890E+04  2.791E+04  1.899E+04  2.403E+04
  2.779E+04  1.527E+04  8.278E+03  6.971E+03  4.507E+03  1.020E+04  1.001E+04  2.527E+04  1.502E+04  2.561E+04
  1.061E+04  8.690E+03  1.588E+04  1.883E+04  1.014E+04  2.160E+04  1.510E+04  4.020E+03  2.875E+03  4.174E+03
  1.579E+04  2.693E+04  1.784E+04  2.621E+04  1.612E+04  5.272E+03  1.338E+04  4.236E+03  1.199E+04  1.669E+04
  3.910E+04  1.210E+04  9.202E+03  3.169E+04  6.212E+03  1.028E+04  5.617E+03  2.777E+04  2.173E+04  3.397E+04
  7.711E+03  1.039E+04  3.046E+03  2.641E+03  2.156E+04  2.923E+04  2.403E+04  1.661E+04  1.262E+04  5.323E+03
  2.039E+04  4.861E+04  3.023E+04  1.979E+04  2.280E+04  1.844E+04  2.513E+04  1.288E+04  2.526E+04  1.716E+04
  1.525E+04  5.332E+03  3.297E+04  3.760E+04  1.571E+04  2.069E+04  1.890E+04  1.947E+04  1.932E+04  4.098E+04
  1.745E+04  2.143E+04  8.768E+03  1.629E+04  1.574E+04  4.557E+04  3.174E+04  2.214E+04  2.118E+04  1.491E+04
  1.321E+04  1.340E+04  1.373E+04  2.507E+04  2.371E+04  1.433E+04  3.244E+03  5.355E+03  1.722E+04  1.061E+04
  2.547E+04  1.125E+04  2.458E+04  1.580E+04  1.581E+04  2.243E+04  2.893E+04  1.126E+04  2.417E+04  8.422E+03
  1.872E+04  3.673E+04  1.843E+04  1.576E+04  2.479E+04  2.884E+04  3.817E+04  3.122E+04  3.938E+04  2.263E+04
  2.862E+04  2.690E+04  6.982E+02  1.405E+04  4.363E+04  1.715E+04  1.880E+04  3.565E+04  1.428E+04  5.122E+04
  1.777E+04  1.485E+04  3.008E+04  2.117E+04  3.720E+04  7.522E+03  1.772E+04  6.233E+04  1.379E+04  1.637E+04
  1.936E+04  2.899E+04  4.265E+04  1.528E+04  1.188E+04  1.390E+04  2.021E+04  1.418E+04  1.261E+04  0.000E+00
  0.000E+00  0.000E+00  2.940E+04  2.099E+04  5.333E+03  7.445E+03  1.271E+04  1.519E+04  5.164E+03  1.751E+04
  2.597E+02  2.633E+04  3.618E+03  1.168E+04  7.246E+03  8.422E+03  1.797E+04  6.337E+03  9.092E+03  2.686E+04
  1.029E+04  7.353E+03  2.211E+04  2.672E+04  7.826E+03  2.719E+03  7.563E+03  4.987E+03  2.593E+04  1.062E+04
  1.115E+04  2.297E+02  2.352E+04  2.723E+04  5.202E+03  5.711E+03  6.569E+03  0.000E+00  7.130E+03  1.367E+04
  8.657E+03  1.164E+04  1.086E+04  9.424E+03  1.058E+04  9.670E+03  1.026E+04  9.065E+03  1.565E+04  0.000E+00
  1.112E+04  1.639E+04  3.046E+04  1.699E+04  1.106E+04  1.257E+03  1.460E+03  0.000E+00  0.000E+00  5.550E+03
  1.842E+03  1.195E+04  5.682E+02  1.544E+04  1.107E+04  1.915E+03  4.948E+03  1.472E+04  1.449E+04  1.842E+04
  6.558E+03  0.000E+00  9.394E+03  5.756E+03  4.819E+03  1.403E+04  5.212E+03  1.516E+04  1.868E+04  2.157E+04
  0.000E+00  0.000E+00  9.541E+03  5.677E+03  0.000E+00  1.775E+04  5.258E+03  5.386E+03  1.034E+03  0.000E+00
  0.000E+00  0.000E+00  6.539E+03  5.178E+03  1.046E+04  5.567E+03  3.616E+03  1.939E+04  5.017E+03  0.000E+00
  8.887E+03  1.687E+04  3.666E+03  1.164E+04  8.537E+03  6.877E+03  1.618E+04  8.259E+03  0.000E+00  1.589E+03
  6.381E+03  0.000E+00  6.250E+03  1.400E+04  1.161E+04  0.000E+00  0.000E+00  0.000E+00  5.094E+03  4.685E+03
  0.000E+00  0.000E+00  4.879E+03  6.858E+03  1.156E+04  0.000E+00  1.181E+04  3.523E+04  9.892E+03  1.755E+04
  0.000E+00  1.277E+04  1.392E+04  4.013E+03  1.536E+03  5.590E+03  5.395E+03  0.000E+00  1.996E+03  7.818E+03
  3.521E+03  1.143E+03  0.000E+00  7.238E+03  0.000E+00  0.000E+00  1.741E+04  0.000E+00  0.000E+00  1.229E+04
  1.285E+04  0.000E+00  5.039E+02  0.000E+00  5.742E+03  5.515E+03  6.105E+02  1.931E+04  7.457E+03  4.031E+03
  8.094E+03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.976E+03  2.568E+03  1.804E+04  9.328E+03  2.812E+03
  2.313E+03  6.901E+03  6.401E+03  6.197E+03  2.232E+02  0.000E+00  1.322E+03  1.898E+04  1.512E+04  2.296E+04
  2.079E+04  1.126E+04  4.750E+03  1.058E+04  1.216E+04  0.000E+00  9.628E+03  9.542E+03  1.868E+04  3.055E+04
  3.579E+04  2.299E+04  4.536E+03  9.930E+03  3.941E+03  1.288E+04  2.065E+04  7.245E+03  3.632E+03  1.578E+04
  2.600E+04  3.200E+04  1.887E+04  2.351E+04  8.397E+03  2.407E+03  8.998E+03  3.904E+03  1.495E+04  1.969E+04
  3.224E+03  0.000E+00  1.033E+04  1.593E+04  6.066E+03  5.946E+03  6.310E+03  5.399E+03  6.765E+03  6.635E+03
  5.713E+03  1.252E+04  1.155E+04  6.307E+03  1.593E+04  5.200E+03  3.047E+03  1.376E+04  1.153E+04  1.469E+04
  1.761E+04  2.879E+03  1.241E+04  2.106E+04  1.341E+04  5.878E+03  3.908E+03  9.988E+02  1.861E+04  1.956E+04
